AGGNO,CHEM,ACTIVITY,DOSAGE,REFERENCE,MAJORACT,USERID,CREATED,MODIFIED
127155,"(+)-(1S,10R)-1,10-DIMETHYLBICYCLO(4.4.0)-DEC-6-EN-3-ONE",Insectifuge,,382,,DUKE,10-Dec-97,
127156,"(+)-(1S,10R)-1,10-DIMETHYLBICYCLO(4.4.0)-DEC-6-EN-3-ONE",Pesticide,,,,DUKE,10-Dec-97,
127157,(+)-3-HYDROXY-9-METHOXYPTEROCARPAN,Fungicide,IC26-78=100 uM,JAF38:836,,DUKE,10-Dec-97,
127158,(+)-3-HYDROXY-9-METHOXYPTEROCARPAN,Pesticide,,,,DUKE,10-Dec-97,
127159,(+)-3-THUJONE,Antifeedant,,382,,DUKE,10-Dec-97,
127160,(+)-3-THUJONE,Pesticide,,,,DUKE,10-Dec-97,
127161,(+)-4-BETA-HYDROXYHERENANDULCIN,Sweetener,,JNP55:1136,,DUKE,10-Dec-97,
127162,"(+)-8-16-BETA-HYDROXYBERSALDEGENIN-1,3,5-ORTHOACETATE",Antitumor,,CRC,,DUKE,10-Dec-97,
127163,"(+)-8-16-BETA-HYDROXYBERSALDEGENIN-1,3,5-ORTHOACETATE",Pesticide,,,,DUKE,10-Dec-97,
127164,(+)-8HYDROXYCALAMENENE,Antibacterial,,JBH,,DUKE,10-Dec-97,27-Jul-99
127165,(+)-8HYDROXYCALAMENENE,Antibacterial,,,,DUKE,10-Dec-97,27-Jul-99
127166,(+)-8HYDROXYCALAMENENE,Pesticide,,,,DUKE,10-Dec-97,
127167,(+)-8HYDROXYCALAMENENE,Piscicide,,JBH,,DUKE,10-Dec-97,
127168,(+)-8HYDROXYCALAMENENE,Piscicide,,,,DUKE,10-Dec-97,
127169,(+)-ADLUMINE,Cardiodepressant,,JBH,,DUKE,10-Dec-97,
127170,(+)-ADLUMINE,Convulsant,,JBH,,DUKE,10-Dec-97,
127171,(+)-ADLUMINE,Enterostimulant,,JBH,,DUKE,10-Dec-97,
127172,(+)-ADLUMINE,Uterotonic,,JBH,,DUKE,10-Dec-97,
127173,(+)-ALPHA-VINIFERIN,Antiinflammatory,,PM61:41,,DUKE,10-Dec-97,14-Mar-99
127174,(+)-AMMODENDRINE,Insecticide,,JBH,,DUKE,10-Dec-97,
127175,(+)-AMMODENDRINE,Pesticide,,,,DUKE,10-Dec-97,
127176,(+)-AROMOLINE,Antimalarial,IC50=0.67 ug/ml (ca 1/5 chloroquine),JNP54:720,,DUKE,10-Dec-97,
127177,(+)-AROMOLINE,Antiseptic,,JBH,,DUKE,10-Dec-97,
127178,(+)-AROMOLINE,Hypotensive,,JBH,,DUKE,10-Dec-97,
127179,(+)-AROMOLINE,Pesticide,,,,DUKE,10-Dec-97,
127180,(+)-BORNYL-ISOVALERATE,FLavor,FEMA <1-2,ARC,,DUKE,10-Dec-97,
127181,(+)-BORNYL-ISOVALERATE,Sedative,,JBH,,DUKE,10-Dec-97,
127182,(+)-CAMPHOR,Cholagogue,,CPB38:1045,,DUKE,10-Dec-97,
127183,(+)-CAMPHOR,FLavor,FEMA 2-25,ARC,,DUKE,10-Dec-97,
127184,(+)-CAMPHOR,Insect-Repellent,,,,DUKE,10-Dec-97,
127185,(+)-CAMPHOR,Pesticide,,,,DUKE,10-Dec-97,
127186,(+)-CARVONE,Antialzheimeran?,,LGR,,DUKE,10-Dec-97,
127187,(+)-CARVONE,Anticholinesterase,,LGR,,DUKE,10-Dec-97,
127188,(+)-CASSYTHICINE,Antiseptic,,JBH,,DUKE,10-Dec-97,
127189,(+)-CASSYTHICINE,Cytotoxic,,JBH,,DUKE,10-Dec-97,
127190,(+)-CASSYTHICINE,Pesticide,,,,DUKE,10-Dec-97,
127191,(+)-CATECHIN,Anticoagulant,,,,DUKE,10-Dec-97,
127192,(+)-CATECHIN,Anticomplementary,1/2 aspirin,PM57:A48,,DUKE,10-Dec-97,
127193,(+)-CATECHIN,Antimutagenic,ID50=50-100 nM,PCF,,DUKE,10-Dec-97,
127194,(+)-CATECHIN,Antioxidant,,JAFC48:220 JBH,,DUKE,10-Dec-97,1-May-01
127195,(+)-CATECHIN,Antiperoxidant,,JBH,,DUKE,10-Dec-97,
127196,(+)-CATECHIN,Antiradicular,,JBH,,DUKE,10-Dec-97,
127197,(+)-CATECHIN,Cancer-Preventive,,525,,DUKE,10-Dec-97,
127198,(+)-CATECHIN,Cardiotonic,,,,DUKE,10-Dec-97,
127199,(+)-CATECHIN,Dermatitigenic,,JBH,,DUKE,10-Dec-97,
127200,(+)-CATECHIN,Hemostat,,JBH,,DUKE,10-Dec-97,
127201,(+)-CATECHIN,Hepatoprotective,,JBH,,DUKE,10-Dec-97,
127202,(+)-CATECHIN,Immunostimulant,,EMP1:124,,DUKE,10-Dec-97,
127203,(+)-CATECHIN,Phagocytotic,,EMP1:124,,DUKE,10-Dec-97,26-May-00
127204,(+)-CATECHIN,Vasoconstrictor,,AYL,,DUKE,10-Dec-97,
127205,(+)-CATECHIN,cAMP-Phosphodiesterase-Inhibitor,,AFR27:180,,DUKE,10-Dec-97,3-Dec-98
127206,(+)-CATECHOL,Antihepatitic,,M29,,DUKE,10-Dec-97,
127207,(+)-CATECHOL,Antiseptic,,,,DUKE,10-Dec-97,
127208,(+)-CATECHOL,Fatal,,M29,,DUKE,10-Dec-97,
127209,(+)-CATECHOL,Pesticide,,,,DUKE,10-Dec-97,
127210,(+)-CONIINE,Emetic,,M11,,DUKE,10-Dec-97,
127211,(+)-CONIINE,Neurotoxic,,JBH,,DUKE,10-Dec-97,
127212,(+)-CONIINE,Paralytic,,M11,,DUKE,10-Dec-97,
127213,(+)-CONIINE,Teratogenic,,JBH,,DUKE,10-Dec-97,
127214,(+)-CYANIDANOL-3,Hepatoprotective,,,,DUKE,10-Dec-97,
127215,(+)-DIMETHYLISOLARICIRESINOL-2-ALPHA-XYLOSIDE,Antitumor,,,,DUKE,10-Dec-97,
127216,(+)-EPIEUDESMIN,Antifeedant,,382,,DUKE,10-Dec-97,
127217,(+)-EPIEUDESMIN,Pesticide,,,,DUKE,10-Dec-97,
