PLNA,PLCO,AUTHOR,VALID,PLCOS
"NONSEEDBEARING","000000000","FAMILY NAME","","0"
"EQUISETUM SP.","000001000","","S","1000"
"EQUISETUM ARVENSE","000001001","","","1001"
"EQUISETUM GIGANTEUM","000001002","L.","N","1002"
"MARSILEA SP.","000002000","","Y","2000"
"MARSILEA CRENATA","000002001","","","2001"
"MARSILEA POLYCARPA","000002002","HOOK. & GREV.","Y","2002"
"HELMINTHOSTACHYS ZEYLANICA","000003001","","","3001"
"ADIANTUM SP.","000004000","U","S","4000"
"ADIANTUM SP.","000004000","","N","4000"
"ADIANTUM TENERUM","000004001","L.","N","4001"
"ADIANTUM MELANOLEUCUM","000004002","WILLD.","N","4002"
"ADIANTUM PETIOLATUM","000004003","DESV.","N","4003"
"ADIANTUM CAPILLUS-VENERIS","000004004","L.","N","4004"
"ADIANTUM PULVERULENTUM","000004005","L.","N","4005"
"ADIANTUM CRISTATUM","000004006","L.","Y","4006"
"ADIANTUM TRAPEZIFORMIS","000004007","","P","4007"
"ADIANTUM LANCEA","000004008","U","S","4008"
"ADIANTUM SINUOSUM","000004010","U","S","4010"
"ADIANTUM CAUDATUM","000004011","U","S","4011"
"ADIANTUM LUNULATUM","000004012","U","S","4012"
"ADIANTUM PLATYPHYLLUM","000004013","U","S","4013"
"ADIANTUM SERRATODENTATUM","000004014","U","S","4014"
"ADIANTUM SUBCORDATUM","000004015","U","S","4015"
"CYATHEA SP.","000005000","","","5000"
"CYATHEA ARBOREA","000005001","(L.) J. E. SM.","N","5001"
"CYATHEA BRITTONIANA","000005002","MAXON","L","5002"
"CYATHEA SCHANSCHIN","000005003","U","S","5003"
"CYATHEA VESTITA","000005004","U","S","5004"
"CYCLOPELTIS SEMICORDATA","000006001","(SW.) J. SM.","N","6001"
"HEMITELIA HORRIDA","000007001","(L.) J. E. SM.","N","7001"
"PTERIS SP.","000008000","","","8000"
"PTERIS LONGIFOLIA","000008001","L.","N","8001"
"PTERIS GRANDIFOLIA","000008002","L.","N","8002"
"PTERIS ALTISSIMA","000008003","","P","8003"
"PTERIS TRIPARTITA","000008004","","P","8004"
"PTERIS ACULEATA","000008005","U","S","8005"
"PTERIS AQUILINA","000008006","U","S","8006"
"PTERIS DENTICULATA","000008007","U","S","8007"
"PTERIS LOMARIACEA","000008008","U","S","8008"
"PTERIS QUADRIAURITA","000008009","U","S","8009"
"ACROSTICHUM AUREUM","000009001","L.","N","9001"
"ACROSTICHUM CONFORME","000009002","U","S","9002"
"ACROSTICHUM SCOLOPENDRIFOLIUM","000009003","U","S","9003"
"ACROSTICHUM VISCOSUM","000009004","U","S","9004"
"PTERIDIUM CAUDATUM","000010001","(L.) MAXON","N","10001"
"PTERIDIUM AQUILINUM","000010002","(L.)KUHN","","10002"
"NEPHROLEPSIS EXALTATA","000011001","(L.) SCHOTT","N","11001"
"NEPHROLEPIS RIVULARIS","000011002","(VAHL)METT.","L","11002"
"NEPHROLEPIS PECTINATA","000011003","","P","11003"
"LYGODIUM VENUSTUM","000012001","SW.","N","12001"
"LYGOPODIUM POLYMORPHUM","000012002","","P","12002"
"LYGODIUM VOLUBILE","000012003","U","S","12003"
"PITYROGRAMMA CALOMELANOS","000013001","(L.) LINK","N","13001"
"LYCOPODIUM SP.","000014000","","","14000"
"LYCOPODIUM CERNUUM","000014001","L.","N","14001"
"LYCOPODIUM CLAVATUM","000014002","L.","N","14002"
"LYCOPODIUM COMPLANATUM","000014003","L.","N","14003"
"LYCOPODIUM CERNUUM","000014004","L.","L","14004"
"LYCOPODIUM DICHOTOMUM","000014005","JACQ.","L","14005"
"LYCOPODIUM MAGELLANICUM","000014006","SW.","A","14006"
"LYCOPODIUM SAURURUS","000014007","LAM.","A","14007"
"LYCOPODIUM VARIUM","000014008","R.BR.","A","14008"
"LYCOPODIUM ALOPECUROIDES","000014009","U","S","14009"
"LYCOPODIUM REFLEXUM","000014010","U","S","14010"
"LYCOPODIUM TRICHIATUM","000014011","U","S","14011"
"PELLAEA TERNIFOLIA","000015001","(CAV.) LINK","N","15001"
"BOTRYCHIUM JENMANI","000016001","UNDERW.","N","16001"
"OPHIOGLOSSUM RETICULATUM","000017001","L.","N","17001"
"OPHIOGLOSSUM CROTALOPHOROIDES","000017002","WALT.","A","17002"
"POLYPODIUM","000018000","","","18000"
"POLYPODIUM THYSSALONEPIS","000018001","","N","18001"
"POLYPODIUM POLYPODIOIDES","000018002","(L.) WATT.","Y","18002"
"POLYPODIUM LYCOPODIOIDES","000018003","L.","Y","18003"
"POLYPODIUM CRASSIFOLIUM","000018004","L.","Y","18004"
"POLYPODIUM AUREUM","000018005","L.","Y","18005"
"POLYPODIUM PILOSELLOIDES","000018006","L.","Y","18006"
"POLYPODIUM PLUMULA","000018007","H.B.WILLD.","Y","18007"
"POLYPODIUM MAGELLANICUM","000018008","(DESV.)COPEL.","A","18008"
"POLYPODIUM VULGARE","000018009","L.","A","18009"
"POLYPODIUM ANGUSTIFOLIUM","000018010","U","S","18010"
"POLYPODIUM ANGUSTUM","000018011","U","S","18011"
"POLYPODIUM CATHARINAE","000018012","U","S","18012"
"POLYPODIUM DECURRENS","000018013","U","S","18013"
"POLYPODIUM ELASTICUM","000018014","U","S","18014"
"POLYPODIUM FRAXINIFOLIUM","000018015","U","S","18015"
"POLYPODIUM INCANUM","000018016","U","S","18016"
"POLYPODIUM LINDBERGII","000018017","U","S","18017"
"POLYPODIUM PECTINATUM","000018018","U","S","18018"
"POLYPODIUM PENDULUM","000018019","U","S","18019"
"POLYPODIUM PHYLLITIDIS","000018020","U","S","18020"
"ANEIMIA ADIANTIFOLIA","000019001","(L.) SW.","N","19001"
"ANEIMIA PHYLLITIDIS","000019002","(L.) SW.","N","19002"
"ANEIMIA HIRSUTA","000019003","","P","19003"
"ANEIMIA LANGSDORFFIANA","000019004","U","S","19004"
"ANEIMIA MANDIOCCANA","000019005","U","S","19005"
"ANEIMIA OBLONGIFOLIA","000019006","U","S","19006"
"ANEIMIA TOMENTOSA","000019007","U","S","19007"
"BLECHNUM SP.","000020000","","","20000"
"BLECHNUM OCCIDENTALE","000020001","L.","N","20001"
"BLECHNUM PENNA-MARINA","000020002","(POIR.)KUHN.","A","20002"
"BLECHNUM CAPENSE","000020003","","","20003"
"BLECHNUM ASPLENIOIDES","000020004","U","S","20004"
"BLECHNUM BRASILIENSE","000020005","U","S","20005"
"BLECHNUM LANCEOLA","000020006","U","S","20006"
"BLECHNUM LONGIFOLIUM","000020007","U","S","20007"
"BLECHNUM SERRULATUM","000020008","U","S","20008"
"BLECHNUM UNILATERALE","000020009","U","S","20009"
"BLECHNUM ACCIDENTALE","000020010","U","S","20010"
"DORYOPTERIS PEDATA","000021001","(L.) FEE","N","21001"
"GRAMMITIS SP.","000022000","","","22000"
"GRAMMITIS SEMIHIRSUTA","000022001","","N","22001"
"GRAMMITIS ARMSTRONGII","000022002","TINDALE","A","22002"
"GRAMMITIS KERGUELENSIS","000022003","TARD.","A","22003"
"GRAMMITIS MONILIFORMIS","000022004","","","22004"
"TECTARIA INCISA","000023001","","N","23001"
"THELYPTERIS SP.","000024000","","Y","24000"
"THELYPTERIS NORMALIS","000024001","","N","24001"
"THELYPTERIS RETICULATA","000024002","(L.)PROCT.","L","24002"
"THELYPTERIS NICARAGUENSIS","000024003","","P","24003"
"THELYPTERIS POITEANA","000024004","","P","24004"
"THELYPTERIS TETRAGONA","000024005","","P","24005"
