FNFNUM,TAXON,TAXAUTHOR,GENUS,SPECIES,SUBSPECIES,VARIETY,FORMA,CULTIVAR,SPAUT,SPSAUT,SPVAUT,SPFAUT,CULTAUT,FAMILY,SPCMT,PLCO,TAXNO,VALIDTAXNO,GRINVERIFY,USEAGE,USERID,CREATED,MODIFIED
"1","Abelmoschus esculentus","(L.) MOENCH","Abelmoschus","esculentus","","","","","(L.) MOENCH","","","","","Malvaceae","","","619","619","","F","DUKE","10-DEC-97","15-JUL-05"
"2","Abelmoschus manihot","(L.) MEDIK.","Abelmoschus","manihot","","","","","(L.) MEDIK.","","","","","Malvaceae","","","621","621","","F","DUKE","10-DEC-97","15-JUL-05"
"3","Abelmoschus moschatus","MEDIK.","Abelmoschus","moschatus","","","","","MEDIK.","","","","","Malvaceae","","375035002","623","623","","G","DUKE","10-DEC-97","15-JUL-05"
"4","Abies alba","MILLER","Abies","alba","","","","","MILLER","","","","","Pinaceae","","11010002","629","629","","M","DUKE","10-DEC-97","15-JUL-05"
"5","Abies balsamea","(L.) MILLER","Abies","balsamea","","","","","(L.) MILLER","","","","","Pinaceae","","11010003","635","635","","M","DUKE","10-DEC-97","15-JUL-05"
"6","Abies sachalinensis","MASTERS","Abies","sachalinensis","","","","","MASTERS","","","","","Pinaceae","","","713","713","","M","DUKE","10-DEC-97","15-JUL-05"
"7","Abrus precatorius","L.","Abrus","precatorius","","","","","L.","","","","","Fabaceae","Synonyms: Glycine abrus L.","","739","739","","M","DUKE","10-DEC-97","15-JUL-05"
"8","Acacia catechu","(L. f.) WILLD.","Acacia","catechu","","","","","(L. f.) WILLD.","","","","","Fabaceae","","283012058","803","803","","M","DUKE","10-DEC-97","15-JUL-05"
"9","Acacia decurrens","(WENDL.) WILLD.","Acacia","decurrens","","","","","(WENDL.) WILLD.","","","","","Fabaceae","","283012027","822","822","","G","DUKE","10-DEC-97","15-JUL-05"
"10","Acacia farnesiana","(L.) WILLD.","Acacia","farnesiana","","","","","(L.) WILLD.","","","","","Fabaceae","","","844","844","","G","DUKE","10-DEC-97","15-JUL-05"
"1439","Acacia lenticularis","","Acacia","lenticularis","","","","","","","","","","Fabaceae","","","903","903","","M","DUKE","10-DEC-97","15-JUL-05"
"11","Acacia leucophloea","(ROXB.) WILLD.","Acacia","leucophloea","","","","","(ROXB.) WILLD.","","","","","Fabaceae","","283012061","906","906","","G","DUKE","10-DEC-97","15-JUL-05"
"12","Acacia melanoxylon","R. BR.","Acacia","melanoxylon","","","","","R. BR.","","","","","Fabaceae","","283012010","926","926","","G","DUKE","10-DEC-97","15-JUL-05"
"1440","Acacia modesta","","Acacia","modesta","","","","","","","","","","Fabaceae","","","932","932","","M","DUKE","10-DEC-97","15-JUL-05"
"13","Acacia nilotica","(L.) WILLD. ex DELILE","Acacia","nilotica","","","","","(L.) WILLD. ex DELILE","","","","","Fabaceae","","283012003","312499","312499","","G","DUKE","10-DEC-97","15-JUL-05"
"14","Acacia senegal","(L.) WILLD.","Acacia","senegal","","","","","(L.) WILLD.","","","","","Fabaceae","Synonyms: Acacia verek, Mimosa senegal, Senegalia senegal","283012005","984","984","","G","DUKE","10-DEC-97","15-JUL-05"
"15","Acacia tortilis","(FORSSK.) HAYNE","Acacia","tortilis","","","","","(FORSSK.) HAYNE","","","","","Fabaceae","","283012014","312504","312504","","G","DUKE","10-DEC-97","15-JUL-05"
"16","Acalypha indica","L.","Acalypha","indica","","","","","L.","","","","","Euphorbiaceae","","328122004","400002","400002","","G","DUKE","10-DEC-97","15-JUL-05"
