SUPERACT,ACTIVITY
AIDS/HIV,Anti-HIV-Integrase
AIDS/HIV,AntiAIDS
AIDS/HIV,AntiHIV
AIDS/HIV,Antibacterial
AIDS/HIV,Antibiotic
AIDS/HIV,Anticandidosis
AIDS/HIV,Antiinflammatory
AIDS/HIV,Antiintegrase
AIDS/HIV,Antioxidant
AIDS/HIV,Antiretroviral
AIDS/HIV,Antiseptic
AIDS/HIV,Antistress
AIDS/HIV,Antiviral
AIDS/HIV,COX-2-Inhibitor
AIDS/HIV,Candidicide
AIDS/HIV,Candidistat
AIDS/HIV,Cyclooxygenase-Inhibitor
AIDS/HIV,HIV-RT-Inhibitor
AIDS/HIV,Immunostimulant
AIDS/HIV,MDR-Inhibitor
AIDS/HIV,Nervine
AIDS/HIV,Protisticide
AIDS/HIV,RT-Inhibitor
AIDS/HIV,Reverse-Transcriptase-Inhibitor
AIDS/HIV,Viristat
Alcoholism,Antiaddictive
Alcoholism,Antialcoholic
Alcoholism,Antianxiety
Alcoholism,Antidipsomanic
Alcoholism,Antihepatotoxic
Alcoholism,Antioxidant
Alcoholism,Antistress
Alcoholism,Anxiolytic
Alcoholism,Dopaminergic
Alcoholism,Endorphinogenic
Alcoholism,Enkephalinogenic
Alcoholism,Hepatoprotective
Alcoholism,Hepatoregenerative
Alcoholism,Hepatotonic
Alcoholism,SSRI
Alcoholism,Serotonergic
Alcoholism,Serotonigenic
Alcoholism,Serotoninergic
Allergy,12-Lipoxygenase-Inhibitor
Allergy,Analgesic
Allergy,Anesthetic
Allergy,Antiallergic
Allergy,Antiasthmatic
Allergy,Antibronchitic
Allergy,Antibronchoconstrictor
Allergy,Antidermatitic
Allergy,Antiedemic
Allergy,Antihistaminic
Allergy,Antiinflammatory
Allergy,Antiitch
Allergy,Antinociceptive
Allergy,Antioxidant
Allergy,Antipharyngitic
Allergy,Antiprostaglandin
Allergy,Antipruritic
Allergy,Antirhinitic
Allergy,Antisinusitic
Allergy,Antispasmodic
Allergy,Antitussive
Allergy,Asthma-preventive
Allergy,Astringent
Allergy,Bronchodilator
Allergy,Bronchorelaxant
Allergy,Bronchosedative
Allergy,Bronchospasmolytic
Allergy,Bronchotonic
Allergy,COX-2-Inhibitor
Allergy,Cyclooxygenase-Inhibitor
Allergy,Decongestant
Allergy,Expectorant
Allergy,Immunomodulator
Allergy,Inhibit-Cytokine-Production
Allergy,Antiinterleukin-1
Allergy,Lipoxygenase-Inhibitor
Allergy,Mast-Cell-Stabilizer
Allergy,PAF-Inhibitor
Allergy,Prostaglandin-Synthesis-Inhibitor
Allergy,Prostaglandin-Synthetase-Inhibitor
Altitude Sickness,Antiaggregant
Altitude Sickness,Antianoxic
Altitude Sickness,Antihypoxic
Altitude Sickness,Antisoroche
Altitude Sickness,Diuretic
Altitude Sickness,Respirastimulant
Alzheimers,ACE-Inhibitor
Alzheimers,AChE-Inhibitor
Alzheimers,Acetylcholinergic
Alzheimers,Adaptogen
Alzheimers,Adaptogenic
Alzheimers,Antiacetylcholinesterase
Alzheimers,Antiaggregant
Alzheimers,Antiaging
Alzheimers,Antiakathisic
Alzheimers,Antialzheimeran
Alzheimers,Antianxiety
Alzheimers,Antiapoplectic
Alzheimers,Antiarteriosclerotic
Alzheimers,Antiatherogenic
Alzheimers,Antiatherosclerotic
Alzheimers,Antiatherotic
Alzheimers,Anticapillarihemorrhagic
Alzheimers,Anticapillary-Fragility
Alzheimers,Anticerebrothrombotic
Alzheimers,Anticholinesterase
Alzheimers,Anticomplementary
Alzheimers,Antidementia
Alzheimers,Antidepressant
Alzheimers,Antidote (Aluminum)
Alzheimers,Antihypertensive
Alzheimers,Antihypoxic
Alzheimers,Antiinflammatory
Alzheimers,Antiischemic
Alzheimers,Antileukotriene
Alzheimers,Antileukotrienogenic
Alzheimers,Antineurogenic
Alzheimers,Antineuropathic
Alzheimers,Antineurotic
Alzheimers,Antioxidant
Alzheimers,Antioxidant Synergist
Alzheimers,Antiperoxidant
Alzheimers,Antiperoxidative
Alzheimers,Antiprostaglandin
