LOCNUM,SOURCE,REPTRYLD,WEEDED,CULVATED,NUM,PLCO,LOCNO,VARYD,ANAVPRCP,BIOTEMP,SOIL,PH,RH,IRRIG,MINTEMP,MAXTEMP,GROWSEAS,YIELDLO,YIELDHI,PARTHARV,NFERT,PFERT,KFERT,PESTCIDE,HERBCIDE,SEEDLVL,MANURE,INTCROP,FUNGCIDE,RATOON,YRSOBS,AMTFERT,FERTRIAL,FROSTCO,ABSMINT,ABSMAXT,OTHFERT,YRW1,YRW2,YRSYLD,Y1YLD,Y2YLD,CONTYLD,CONTWEA,YMATCHW,VERIFIED,EXPTYPE,NTYPE,PTYPE,KTYPE,WEEDNUM,CULTNUM,WSS,TEMPORARY
"18454","XXX","23000","","","1134","302115004","0300","","1120","18.8","","5","71","R","12.4","25.7","214","","","FR","","","","","","","","","","","50","","","5","","","X","1901","1950","","","","","","","V","","","","","","","1",""
"18454","XXX","32000","","","1135","302115006","0300","","1120","18.8","","5","71","R","12.4","25.7","214","","","FR","","","","","","","","","","","50","","","5","","","X","1901","1950","","","","","","","V","","","","","","","1",""
"18454","XXX","18000","","","1136","302115007","0300","","1120","18.8","","5","71","R","12.4","25.7","214","","","FR","","","","","","","","","","","50","","","5","","","X","1901","1950","","","","","","","V","","","","","","","1",""
"18454","XXX","20000","","","1137","302115008","0300","","1120","18.8","","5","71","R","12.4","25.7","214","","","FR","","","","","","","","","","","50","","","5","","","X","1901","1950","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1397","73108002","0342","AA","89","17.3","","7.8","54","0","10.4","25.6","","30000","50000","BU","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1398","73108005","0342","","89","17.3","","7.8","54","0","10.4","25.6","","5000","8000","BU","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1410","571052002","0342","","89","17.3","","7.8","54","0","10.4","25.6","","5000","15000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1411","580866001","0342","","89","17.3","","7.8","54","0","10.4","25.6","","250","1000","SD","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1408","540084001","0342","AF","89","17.3","","7.8","54","0","10.4","25.6","","10000","30000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1409","540084001","0342","AE","89","17.3","","7.8","54","0","10.4","25.6","","10000","70000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1400","283254006","0342","","89","17.3","","7.8","54","0","10.4","25.6","","8000","15000","PX","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1401","283254006","0342","AB","89","17.3","","7.8","54","0","10.4","25.6","","15000","40000","PX","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1406","501016001","0342","","89","17.3","","7.8","54","0","10.4","25.6","","5000","20000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1404","283467005","0342","","89","17.3","","7.8","54","0","10.4","25.6","","6000","8000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1402","283421001","0342","","89","17.3","","7.8","54","0","10.4","25.6","","3000","6000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1403","283421001","0342","","89","17.3","","7.8","54","0","10.4","25.6","","12000","18000","SD","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1399","274078001","0342","","89","17.3","","7.8","54","0","10.4","25.6","","5500","30000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1407","540031016","0342","","89","17.3","","7.8","54","0","10.4","25.6","","8000","15000","TU","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18496","XXX","","","","1405","369001003","0342","","89","17.3","","7.8","54","0","10.4","25.6","","10000","50000","FR","","","","","","","","","","","10","","","7","","","X","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1002","73172002","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","5000","PX","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1009","302115002","0281","","1030","16.9","","6","75","R","10.9","22.9","","3000","5000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1010","302115003","0281","","1030","16.9","","6","75","R","10.9","22.9","","3000","6000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
